route,avg_gap,median_gap,avg_delay,median_delay,major_delay_rate,gapping_rate,bunching_rate,n_incidents
100,15.036,16.0,8.45,8.0,0.087,0.064,0.201,2248
97,57.31,60.0,30.674,30.0,0.174,0.19,0.184,2065
68,38.115,38.0,20.907,20.0,0.157,0.182,0.174,1968
59,53.003,52.0,28.68,26.0,0.197,0.206,0.172,1015
96,32.483,38.0,17.505,20.0,0.137,0.034,0.157,3628
925,19.536,20.0,10.604,10.0,0.175,0.048,0.15,1932
39,28.88,32.0,15.438,16.0,0.182,0.037,0.149,2858
47,29.353,30.0,15.755,16.0,0.128,0.101,0.143,3577
11,36.075,36.0,18.986,18.0,0.191,0.165,0.14,1432
94,31.756,38.0,17.526,20.0,0.077,0.044,0.137,1712
73,40.015,44.0,21.65,22.0,0.113,0.032,0.135,1487
25,17.318,18.0,9.373,9.0,0.128,0.064,0.133,3356
79,36.911,36.0,19.304,19.0,0.041,0.234,0.13,1531
63,18.295,18.0,10.285,9.0,0.118,0.083,0.13,4753
85,29.18,30.0,15.619,15.0,0.14,0.103,0.129,3933
108,36.445,40.0,19.772,20.0,0.197,0.042,0.116,1449
110,38.233,40.0,20.288,21.0,0.173,0.029,0.114,1349
52,33.588,36.0,17.549,18.0,0.196,0.048,0.108,6683
40,41.204,40.0,21.92,21.0,0.186,0.043,0.105,1529
37,37.657,40.0,20.149,20.0,0.145,0.034,0.104,2402
12,39.78,40.0,21.031,20.0,0.197,0.026,0.099,1801
54,25.941,22.0,13.758,11.0,0.18,0.19,0.098,4477
939,23.558,21.0,12.728,11.0,0.153,0.142,0.094,3729
7,19.572,20.0,10.471,10.0,0.081,0.049,0.091,4950
29,18.578,16.0,10.156,8.0,0.183,0.168,0.09,5373
123,34.635,34.0,18.17,19.0,0.173,0.08,0.09,1539
129,33.352,28.0,18.319,14.0,0.179,0.242,0.089,1746
72,22.781,18.0,12.464,9.0,0.189,0.268,0.088,2481
43,24.289,20.0,13.3,10.0,0.196,0.192,0.086,2940
960,19.264,18.0,10.54,9.0,0.172,0.095,0.084,3201
32,24.348,24.0,12.94,12.0,0.151,0.108,0.083,7386
60,20.87,20.0,11.298,10.0,0.169,0.104,0.083,2516
35,20.536,19.0,11.06,10.0,0.17,0.137,0.076,5080
929,17.865,16.0,9.989,8.0,0.072,0.057,0.076,3059
34,23.704,20.0,12.52,10.0,0.191,0.207,0.075,3549
165,18.396,18.0,10.208,9.0,0.124,0.069,0.073,3445
116,17.712,16.0,9.59,8.0,0.094,0.061,0.073,3641
53,24.125,19.0,13.116,9.0,0.151,0.307,0.072,3451
133,26.187,24.0,14.168,12.0,0.139,0.096,0.072,1944
86,26.329,20.0,13.791,10.0,0.124,0.364,0.068,3334
102,31.116,24.0,16.453,10.0,0.166,0.329,0.068,4265
36,15.315,12.0,8.549,6.0,0.118,0.218,0.067,6283
89,20.869,20.0,11.555,10.0,0.118,0.063,0.065,2952
84,24.498,19.0,13.612,10.0,0.132,0.274,0.064,2701
95,23.656,20.0,12.632,10.0,0.186,0.174,0.064,3853
45,25.782,20.0,13.83,10.0,0.174,0.355,0.063,2251
24,22.935,20.0,12.396,10.0,0.196,0.158,0.061,3048
38,26.657,26.0,14.111,13.0,0.138,0.073,0.059,1912
41,23.317,20.0,12.616,10.0,0.198,0.15,0.055,3534
924,19.684,20.0,10.804,10.0,0.085,0.02,0.046,740
